sample,library,identity,Nb,Ti,V,Zr,Nb+Ti,V+Zr,Nb+Ti_over_V+Zr,V_Zr,Nb_Ti,Ti_V,Nb_Zr,Ti_Zr,Nb_V,Ti_V_over_Nb_Zr,Ti_Zr_over_Nb_V,Nb_Ti_over_V_Zr,Nb_over_V_Zr,LogNb_Ti_over_V_Zr,logNb_over_V_Zr,Log_Nb_Ti,Log_Ti_V,Log_Nb_Zr,LogTi_Zr_over_Nb_V,Nb_over_Nb+Zr,Zr_over_Nb+Zr,LogNb_over_Nb+Zr,LogZr_over_Nb+Zr,Phase,Microstructure,H,Er,Mixing_Enthalpy,PDAS,r_avg,delta_pct,Smix_J_over_mol·K,VEC,Estimated_Density
50,2,B2 (8),32.9,14.2,25.2,27.7,47.1,52.9,0.890359168,0.909747292,2.316901408,0.563492063,1.187725632,0.512635379,1.305555556,0.474429488,0.392656886,2.546752739,36.16388889,0.934819112,3.588061076,0.840230693,-0.57360203,0.172040245,-0.745642274,0.54290429,0.45709571,-0.610822235,-0.78286248,BCC,dendrites,6.74,116.07333,0.07456,1.37,146.996,6.44411494,11.1894456,4.581,6.829583082
51,2,B3 (9),36.5,15.7,27.2,20.6,52.2,47.8,1.092050209,1.32038835,2.324840764,0.577205882,1.77184466,0.762135922,1.341911765,0.325765512,0.567947865,1.760724991,27.64338235,0.565725651,3.319386363,0.843651548,-0.549556261,0.572021185,-1.121577446,0.639229422,0.360770578,-0.447491856,-1.019513041,BCC,dendrites,6.94333,120.77333,0.0684,0.96,145.777,6.122197655,11.12530844,4.637,6.875761308
52,2,B4 (10),33.7,14.3,33.1,18.9,48,52,0.923076923,1.751322751,2.356643357,0.432024169,1.783068783,0.756613757,1.018126888,0.242292487,0.743142889,1.345636237,19.24259819,0.29686694,2.957126477,0.8572383,-0.839273745,0.578335915,-1.41760966,0.640684411,0.359315589,-0.445218282,-1.023554198,BCC,dendrites,6.78,116.325,0.07531,2.08,144.817,6.308085277,11.02028333,4.668,6.832754621
53,2,B5 (11),38.4,14.2,30.5,16.9,52.6,47.4,1.109704641,1.804733728,2.704225352,0.46557377,2.272189349,0.840236686,1.259016393,0.204900956,0.667375493,1.498406834,21.27737705,0.404402433,3.057644398,0.994815495,-0.764484719,0.820743838,-1.585228557,0.694394213,0.305605787,-0.364715449,-1.185459287,BCC,dendrites,7.11333,116.67667,0.06967,2.09,144.848,6.012993799,10.86916758,4.689,6.941856883
54,2,B6 (12),26.7,26.6,29.9,16.9,53.3,46.8,1.138888889,1.769230769,1.003759398,0.889632107,1.579881657,1.573964497,0.892976589,0.563100472,1.762604437,0.567342269,15.09130435,-0.566792509,2.714118707,0.00375235,-0.116947265,0.457349943,-0.574297208,0.612385321,0.387614679,-0.490393585,-0.947743528,BCC,dendrites,5.69,102.925,0.05669,0.73,145.19,5.986763875,11.35918635,4.57,6.447846164
55,2,C1 (13),21.9,15.3,28.4,34.3,37.2,62.7,0.593301435,0.827988338,1.431372549,0.538732394,0.638483965,0.44606414,0.771126761,0.843768088,0.578457606,1.728735156,26.44964789,0.547390017,3.275242846,0.358633808,-0.618536317,-0.448658717,-0.169877599,0.389679715,0.610320285,-0.94243012,-0.493771403,BCC,dendrites,7.55,114.5,0.0852,2.08,147.401,6.981584475,11.17678943,4.499,6.576628329
56,2,C2 (14),25.6,14.2,30.6,29.6,39.8,60.2,0.661129568,1.033783784,1.802816901,0.464052288,0.864864865,0.47972973,0.836601307,0.536560458,0.573426943,1.743901316,24.76339869,0.556124739,3.209366704,0.589350387,-0.767758044,-0.14518201,-0.622576035,0.463768116,0.536231884,-0.768370602,-0.623188592,BCC,dendrites,5.96667,113.91,0.08529,2.12,146.614,6.883263928,11.21308325,4.562,6.667064363
57,2,C3 (15),27.7,19.5,30.4,22.4,47.2,52.8,0.893939394,1.357142857,1.420512821,0.641447368,1.236607143,0.870535714,0.911184211,0.518715561,0.955389376,1.046693657,20.41052632,0.045636298,3.016050764,0.351017948,-0.444028143,0.212371454,-0.656399597,0.552894212,0.447105788,-0.592588595,-0.804960049,BCC,dendrites,6.55333,114.29333,0.07102,2,145.683,6.430952964,11.4025045,4.581,6.60908294
58,2,C4 (16),19.5,33,26.4,21.1,52.5,47.5,1.105263158,1.251184834,0.590909091,1.25,0.924170616,1.563981043,0.738636364,1.352564103,2.117389719,0.472279614,15.58522727,-0.750184066,2.746323496,-0.526093096,0.223143551,-0.078858575,0.302002126,0.480295567,0.519704433,-0.733353601,-0.654495026,BCC,dendrites,5.805,98.765,0.05254,2.08,146.116,6.109422658,11.34467881,4.459,6.184897009
59,2,C5 (17),29.2,20,35.9,14.9,49.2,50.8,0.968503937,2.409395973,1.46,0.557103064,1.959731544,1.342281879,0.813370474,0.284275194,1.650271214,0.605961003,12.11922006,-0.500939647,2.494792627,0.378436436,-0.585005022,0.672807496,-1.257812518,0.662131519,0.337868481,-0.412291073,-1.08509857,BCC,dendrites,5.41667,100.23667,0.06578,2.09,143.978,6.095112134,11.08072426,4.651,6.616038997
60,2,C6 (18),11.7,31.5,36.3,20.5,43.2,56.8,0.76056338,1.770731707,0.371428571,0.867768595,0.570731707,1.536585366,0.32231405,1.520449248,4.767354597,0.209759937,6.607438017,-1.561791559,1.888195987,-0.990398704,-0.141830195,-0.560836044,0.419005849,0.363354037,0.636645963,-1.012377611,-0.451541566,BCC,dendrites,5.83667,85.29333,0.06229,1.04,144.829,6.60096591,10.87167966,4.48,6.009748691
61,2,D1 (19),15.1,14.8,27.2,42.9,29.9,70.1,0.426533524,0.634032634,1.02027027,0.544117647,0.351981352,0.344988345,0.555147059,1.545870666,0.621435959,1.609176272,23.81580882,0.475722416,3.170349596,0.020067563,-0.608589793,-1.044177082,0.43558729,0.260344828,0.739655172,-1.345748267,-0.301571185,BCC,dendrites,5.31667,116.34667,0.09071,1.5,148.89,7.204001888,10.68694386,4.423,6.456281448
62,2,D2 (20),32.1,34.8,14,19.1,66.9,33.1,2.021148036,0.732984293,0.922413793,2.485714286,1.680628272,1.821989529,2.292857143,1.479038718,0.794637178,1.258435961,43.79357143,0.229869649,3.779487036,-0.080761357,0.910560057,0.519167695,0.391392362,0.626953125,0.373046875,-0.466883502,-0.986051197,BCC,dendrites,5.96333,105.34333,0.03051,0.39,147.342,5.085356296,11.00392862,4.461,6.450189069
63,2,D3 (21),27.2,23.8,27.1,21.9,51,49,1.040816327,1.237442922,1.142857143,0.878228782,1.242009132,1.086757991,1.003690037,0.707103321,1.082762557,0.923563521,21.98081181,-0.079515698,3.090169882,0.133531393,-0.129848147,0.216730336,-0.346578484,0.553971487,0.446028513,-0.590642061,-0.807372398,BCC,dendrites,5.64,95.83,0.062,0.51,146.052,6.207036067,11.49157578,4.543,6.523811243
64,2,D4 (22),30.6,27.1,21.6,20.7,57.7,42.3,1.364066194,1.043478261,1.129151292,1.25462963,1.47826087,1.309178744,1.416666667,0.848720044,0.924126172,1.082103321,29.325,0.078906667,3.378440395,0.121466281,0.226840413,0.390866309,-0.164025895,0.596491228,0.403508772,-0.516690743,-0.907557052,BCC,dendrites,5.98667,106.13667,0.0499,0.89,146.577,5.773422661,11.41704346,4.522,6.545779342
65,2,D5 (23),28.4,36.5,18.5,16.6,64.9,35.1,1.849002849,1.114457831,0.778082192,1.972972973,1.710843373,2.198795181,1.535135135,1.153216597,1.432313762,0.698171048,25.48324324,-0.359291152,3.238021108,-0.250923115,0.679541529,0.53698645,0.142555079,0.631111111,0.368888889,-0.460273345,-0.997259794,BCC,dendrites,6.22333,108.27667,0.03463,0.4,146.469,5.258461009,11.10441336,4.469,6.325169751
66,2,D6 (24),26.3,37.7,19.4,16.5,64,35.9,1.782729805,1.175757576,0.697612732,1.943298969,1.593939394,2.284848485,1.355670103,1.219179962,1.685401544,0.593330416,22.3685567,-0.52200384,3.107656254,-0.360091155,0.664387028,0.466208558,0.19817847,0.614485981,0.385514019,-0.486969163,-0.953177722,BCC,dendrites,6.05333,103.86667,0.03511,0.41,146.213,5.321751008,11.09477603,4.453,6.254554164
